PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Justin,Greystone Woods,White,2020-07-09 17:54,68,10,4,5,5,4,3,3,3,4,4,3,4,4,3,4,3,5,4,3
Alex,Greystone Woods,White,2020-07-09 17:54,81,23,4,6,7,6,3,4,2,3,4,4,6,4,4,7,2,6,4,5
Carolann,Greystone Woods,White,2020-07-09 17:54,104,46,6,7,6,5,6,5,3,5,6,4,7,7,4,9,5,7,6,6
Par,Greystone Woods,White,2020-07-07 18:13,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-07-07 18:13,83,25,5,8,6,5,3,4,4,4,4,6,4,4,4,7,4,4,4,3
Carolann,Greystone Woods,White,2020-07-07 18:13,101,43,6,8,7,7,5,6,4,5,5,7,5,5,4,7,4,5,5,6
Carolann,Greystone Woods,White,2020-07-07 18:13,100,42,6,8,7,6,5,6,4,5,5,7,5,5,4,7,4,5,5,6
Par,Greystone Woods,White,2020-06-24 18:08,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-06-24 18:08,62,4,3,6,5,5,3,3,3,3,3,2,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-06-24 18:08,80,22,4,6,6,6,5,4,4,3,3,3,4,6,4,6,4,4,4,4
Dan,Greystone Woods,White,2020-06-24 18:08,70,12,3,4,4,6,3,4,4,2,3,4,4,4,5,6,4,4,3,3
Par,Greystone Woods,White,2020-06-19 16:53,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-06-19 16:53,61,3,3,5,4,4,3,3,3,3,5,2,4,2,4,4,2,3,3,4
Dan,Greystone Woods,White,2020-06-19 16:53,65,7,2,5,5,4,3,3,3,3,2,4,5,4,4,4,3,3,4,4
Alex,Greystone Woods,White,2020-06-19 16:53,73,15,4,6,5,4,3,4,4,3,5,3,5,3,4,5,3,3,5,4
Par,Greystone Woods,White,2020-06-15 18:22,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-06-15 18:22,64,6,3,4,6,4,4,3,3,3,3,4,3,3,3,4,3,4,4,3
Alex,Greystone Woods,White,2020-06-15 18:22,79,21,3,5,7,6,3,4,5,3,6,4,5,4,5,4,3,4,4,4
